vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,4891,1097,19,0,0,1,15,0,1,0
0,0,0,0,0,0,4921,1060,17,0,2,1,10,0,2,0
0,0,0,0,0,0,4947,1080,47,0,1,0,45,1,0,1
0,0,0,0,0,0,4890,1104,5,0,0,1,1,0,0,0
0,0,0,0,0,0,4833,1121,122,0,6,0,126,3,1,0
0,0,0,0,0,0,4938,1067,4,0,0,0,2,0,0,0
0,0,0,0,0,0,4976,1059,115,0,1,0,102,2,4,0
1,0,1,1,0,0,4881,1062,371,0,16,0,346,4,5,2
0,0,0,0,0,0,4897,1106,31,0,2,0,26,0,2,0
0,0,0,0,0,0,4886,1113,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4892,1105,285,0,4,1,237,2,4,1
3,0,3,3,0,2,4870,1109,154,0,2,1,206,1,4,1
0,0,0,0,0,0,4912,1075,82,0,2,1,57,0,1,0
1,0,1,1,0,0,4872,1106,384,0,8,2,429,2,9,1
1,0,1,1,1,0,4873,1080,99,0,4,0,82,1,2,1
0,0,0,0,0,0,4938,1074,285,0,10,3,241,2,2,1
1,0,1,1,0,0,4893,1099,297,0,7,5,278,0,1,0
0,0,0,0,0,0,4875,1104,12,0,0,0,4,0,0,0
0,0,0,0,0,0,4904,1076,169,0,2,0,207,2,1,3
0,0,0,0,0,0,4886,1116,65,0,3,2,66,2,2,2
0,0,0,0,0,0,4869,1105,33,0,1,0,20,1,3,0
0,0,0,0,0,0,4858,1098,135,0,2,3,130,0,1,0
0,0,0,0,0,0,4938,1110,21,0,1,2,17,3,0,0
0,0,0,0,0,0,4928,1095,21,0,0,1,15,0,1,0
1,0,1,1,0,0,4857,1144,268,0,5,0,291,4,5,4
0,0,0,0,0,0,4875,1108,6,0,1,0,1,0,0,0
0,0,0,0,0,0,4893,1094,24,0,1,0,8,0,0,0
0,0,0,0,0,0,4815,1116,9,0,0,1,5,0,0,0
1,0,1,1,0,0,4911,1075,309,0,5,1,295,2,3,1
0,0,0,0,0,0,4863,1097,23,0,1,0,17,0,1,0
0,0,0,0,0,0,4945,1078,28,0,2,0,31,0,0,0
0,0,0,0,0,0,4944,1107,44,0,3,0,38,1,1,0
1,0,1,1,0,0,4894,1088,232,0,4,2,276,0,2,0
0,0,0,0,0,0,4881,1078,216,0,6,1,209,2,2,2
0,0,0,0,0,0,4896,1084,234,0,6,3,241,1,2,0
0,0,0,0,0,0,4984,1069,82,0,2,0,42,0,0,0
0,0,0,0,0,0,4865,1109,64,0,3,3,31,0,1,1
0,0,0,0,0,0,4957,1093,60,0,1,0,52,1,1,0
1,0,1,1,0,0,4912,1095,254,0,4,1,372,0,8,2
0,0,0,0,0,0,4912,1064,1,0,0,0,3,0,0,0
1,0,1,1,0,0,4976,1069,191,0,1,2,250,4,3,0
0,0,0,0,0,0,4923,1104,128,0,1,1,136,0,3,0
0,0,0,0,0,0,4867,1092,44,0,4,1,55,0,0,1
0,0,0,0,0,0,4855,1080,97,0,2,0,85,0,1,0
0,0,0,0,0,0,4933,1083,90,0,5,0,71,3,1,0
0,0,0,0,0,0,4922,1079,3,0,0,0,9,0,0,0
0,0,0,0,0,0,4855,1090,26,0,0,1,12,1,0,1
0,0,0,0,0,0,4975,1099,44,0,4,1,34,0,2,0
0,0,0,0,0,0,4905,1109,327,0,6,2,323,1,3,0
1,0,1,1,0,0,4896,1102,250,0,2,1,350,2,3,2
0,0,0,0,0,0,4909,1065,266,0,3,3,227,3,5,1
0,0,0,0,0,0,4960,1065,128,0,8,0,126,1,3,0
0,0,0,0,0,0,4907,1091,29,0,4,1,34,1,0,0
0,0,0,0,0,0,4927,1105,69,0,3,0,72,0,0,0
0,0,0,0,0,0,4927,1074,16,0,2,0,10,0,0,0
0,0,0,0,0,0,4916,1089,337,0,7,3,356,3,2,4
0,0,0,0,0,0,4892,1084,20,0,0,0,23,0,0,0
0,0,0,0,0,0,4854,1117,61,0,1,0,65,1,0,0
2,0,2,2,0,1,4953,1086,384,0,7,2,383,3,7,3
0,0,0,0,0,0,4914,1091,91,0,1,0,96,1,2,2
0,0,0,0,0,0,4864,1109,294,0,7,3,275,2,2,2
0,0,0,0,0,0,4886,1083,48,0,3,0,40,0,2,1
0,0,0,0,0,0,4889,1088,100,0,2,0,89,1,0,1
0,0,0,0,0,0,4880,1108,221,0,3,0,302,2,4,3
0,0,0,0,0,0,4900,1089,27,0,1,0,24,1,1,0
0,0,0,0,0,0,4960,1087,179,0,4,3,233,1,3,1
0,0,0,0,0,0,4862,1089,429,0,14,6,415,2,2,9
0,0,0,0,0,0,4833,1119,26,0,1,0,23,1,1,1
0,0,0,0,0,0,4906,1096,236,0,1,2,289,3,3,1
0,0,0,0,0,0,4831,1119,22,0,1,0,11,1,0,0
0,0,0,0,0,0,4954,1110,12,0,0,0,8,0,0,0
0,0,0,0,0,0,4959,1108,130,0,1,3,104,1,1,0
0,0,0,0,0,0,4873,1106,183,0,8,3,199,3,1,1
0,0,0,0,0,0,4979,1082,2,0,0,0,3,0,0,0
2,0,2,2,1,0,4843,1098,279,0,2,2,305,3,4,2
