vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,4329,1657,132,0,4,0,110,3,4,1
0,0,0,0,0,0,4300,1681,26,0,0,1,19,0,0,0
0,0,0,0,0,0,4390,1634,86,0,8,1,79,4,4,0
0,0,0,0,0,0,4321,1672,66,0,3,1,54,1,0,0
0,0,0,0,0,0,4268,1689,38,0,2,3,46,0,0,0
0,0,0,0,0,0,4336,1667,20,0,1,2,20,2,0,0
0,0,0,0,0,0,4366,1670,12,0,2,0,8,0,0,0
2,0,2,2,1,0,4283,1660,185,0,4,2,185,2,3,1
0,0,0,0,0,0,4329,1674,13,0,1,2,15,0,0,0
0,0,0,0,0,0,4332,1667,169,0,6,2,133,1,1,0
0,0,0,0,0,0,4328,1672,68,0,3,2,60,0,2,1
0,0,0,0,0,0,4291,1691,50,0,1,0,37,1,0,1
0,0,0,0,0,0,4289,1695,163,0,1,1,197,3,3,0
0,0,0,0,0,0,4319,1662,22,0,2,1,9,0,1,1
0,0,0,0,0,0,4305,1650,81,0,2,0,65,0,3,0
0,0,0,0,0,0,4328,1684,20,0,3,0,13,0,0,0
0,0,0,0,0,0,4326,1667,6,0,1,0,1,0,0,0
0,0,0,0,0,0,4327,1653,68,0,1,1,66,0,0,0
0,0,0,0,0,0,4305,1676,74,0,3,1,101,0,5,1
2,0,2,2,1,1,4314,1687,103,0,3,0,59,1,2,0
0,0,0,0,0,0,4310,1664,44,0,1,0,23,1,1,0
0,0,0,0,0,0,4315,1641,80,0,4,1,98,1,2,1
2,0,2,2,1,1,4401,1645,98,0,3,0,119,2,2,1
1,0,1,1,0,0,4377,1645,70,0,3,0,64,0,1,0
1,0,1,1,0,0,4312,1690,127,0,2,1,146,0,4,3
0,0,0,0,0,0,4323,1661,14,0,2,1,20,0,0,0
0,0,0,0,0,0,4338,1649,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4266,1664,20,0,0,0,8,1,0,0
1,0,1,1,0,0,4332,1655,211,0,5,4,192,1,3,1
0,0,0,0,0,0,4269,1690,23,0,1,0,23,1,0,0
1,0,1,1,0,1,4326,1694,200,0,3,3,181,1,3,2
0,0,0,0,0,0,4350,1702,61,0,3,1,53,0,1,0
0,0,0,0,0,0,4323,1660,176,0,8,1,172,0,4,1
0,0,0,0,0,0,4287,1673,11,0,2,2,8,0,0,0
0,0,0,0,0,0,4312,1669,104,0,1,0,154,0,0,0
0,0,0,0,0,0,4350,1702,142,0,5,2,142,1,2,0
0,0,0,0,0,0,4274,1699,38,0,3,2,25,0,0,1
0,0,0,0,0,0,4401,1649,30,0,1,0,16,0,0,0
0,0,0,0,0,0,4388,1620,93,0,6,0,84,2,0,0
0,0,0,0,0,0,4325,1651,44,0,0,0,50,0,0,0
0,0,0,0,0,0,4397,1654,117,0,3,3,91,0,2,0
0,0,0,0,0,0,4360,1666,97,0,6,3,87,1,1,1
1,0,1,1,1,0,4315,1644,173,0,5,4,151,0,2,3
0,0,0,0,0,0,4269,1666,111,0,2,0,112,1,1,1
0,0,0,0,0,0,4316,1703,95,0,1,2,83,0,1,0
0,0,0,0,0,0,4358,1641,127,0,7,0,150,4,4,1
0,0,0,0,0,0,4282,1662,133,0,5,2,120,2,2,1
0,0,0,0,0,0,4382,1692,7,0,1,0,0,0,0,0
0,0,0,0,0,0,4337,1677,57,0,1,0,74,1,1,1
0,0,0,0,0,0,4333,1667,35,0,0,0,35,0,0,0
0,0,0,0,0,0,4305,1668,99,0,5,3,77,3,2,3
0,0,0,0,0,0,4348,1678,50,0,1,2,44,0,0,0
0,0,0,0,0,0,4313,1686,33,0,0,2,7,0,1,0
0,0,0,0,0,0,4370,1661,180,0,2,0,208,1,2,0
0,0,0,0,0,0,4368,1633,61,0,3,0,60,0,0,0
1,0,1,1,0,0,4332,1672,94,0,6,1,90,2,3,1
0,0,0,0,0,0,4289,1686,130,0,7,3,124,2,1,1
0,0,0,0,0,0,4320,1650,120,0,3,2,161,1,3,0
1,0,1,1,0,1,4387,1655,124,0,3,1,146,1,6,0
4,0,4,4,0,0,4317,1680,278,0,6,3,302,4,6,1
0,0,0,0,0,0,4307,1668,67,0,2,0,113,0,2,0
1,0,1,1,0,1,4323,1643,158,0,1,2,167,4,2,4
